http://dskg.org/entity/person/10030	Acosta Mario Munoz	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Smith-Miles Kate, Hyndman Rob	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10030	Acosta Mario Munoz	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Smith-Miles Kate, Hyndman Rob	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10030	Acosta Mario Munoz	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Smith-Miles Kate, Hyndman Rob	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10030	Acosta Mario Munoz	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Smith-Miles Kate, Hyndman Rob	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10030	Acosta Mario Munoz	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Smith-Miles Kate, Hyndman Rob	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10030	Acosta Mario Munoz	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Smith-Miles Kate, Hyndman Rob	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10030	Acosta Mario Munoz	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Smith-Miles Kate, Hyndman Rob	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10030	Acosta Mario Munoz	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Smith-Miles Kate, Hyndman Rob	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10030	Acosta Mario Munoz	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Smith-Miles Kate, Hyndman Rob	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10030	Acosta Mario Munoz	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Smith-Miles Kate, Hyndman Rob	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10030	Acosta Mario Munoz	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Smith-Miles Kate, Hyndman Rob	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10030	Acosta Mario Munoz	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Smith-Miles Kate, Hyndman Rob	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10030	Acosta Mario Munoz	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Smith-Miles Kate, Hyndman Rob	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10030	Acosta Mario Munoz	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Smith-Miles Kate, Hyndman Rob	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10030	Acosta Mario Munoz	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Smith-Miles Kate, Hyndman Rob	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10030	Acosta Mario Munoz	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Smith-Miles Kate, Hyndman Rob	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10030	Acosta Mario Munoz	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Smith-Miles Kate, Hyndman Rob	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10030	Acosta Mario Munoz	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Smith-Miles Kate, Hyndman Rob	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10031	Smith-Miles Kate	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Acosta Mario Munoz, Hyndman Rob	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10032	Hyndman Rob	Datasets for outlier detection, nan	Sevvandi Kandanaarachchi, Acosta Mario Munoz, Smith-Miles Kate	nan, https://doi.org/10.26180/5c6253c0b3323
http://dskg.org/entity/person/10034	Davis Matt	Appendix S2, nan		https://figshare.com/articles/Appendix_S2/4541770, https://doi.org/10.5061/dryad.1bj88.2/3.2
http://dskg.org/entity/person/10034	Davis Matt	Appendix S2, nan		https://figshare.com/articles/Appendix_S2/4541770, https://doi.org/10.5061/dryad.1bj88.2/3.2
http://dskg.org/entity/person/10034	Davis Matt	Appendix S2, nan		https://figshare.com/articles/Appendix_S2/4541770, https://doi.org/10.5061/dryad.1bj88.2/3.2
http://dskg.org/entity/person/10034	Davis Matt	Appendix S2, nan		https://figshare.com/articles/Appendix_S2/4541770, https://doi.org/10.5061/dryad.1bj88.2/3.2
http://dskg.org/entity/person/10034	Davis Matt	Appendix S2, nan		https://figshare.com/articles/Appendix_S2/4541770, https://doi.org/10.5061/dryad.1bj88.2/3.2
http://dskg.org/entity/person/10036	Rouger Romuald	Single locus analysis, Two loci analysis, nan	Reichel Katja, Stoeckel Solenn, Malrieu Florent, Masson Jean Pierre	https://figshare.com/articles/Single_locus_analysis/4168794, https://figshare.com/articles/Two_loci_analysis/4168842, https://doi.org/10.5061/dryad.r08vm/3, https://doi.org/10.5061/dryad.r08vm/4
http://dskg.org/entity/person/10037	Reichel Katja	Single locus analysis, Two loci analysis, nan	Rouger Romuald, Stoeckel Solenn, Malrieu Florent, Masson Jean Pierre	https://figshare.com/articles/Single_locus_analysis/4168794, https://figshare.com/articles/Two_loci_analysis/4168842, https://doi.org/10.5061/dryad.r08vm/3, https://doi.org/10.5061/dryad.r08vm/4
http://dskg.org/entity/person/10038	Stoeckel Solenn	Single locus analysis, Two loci analysis, nan	Rouger Romuald, Reichel Katja, Malrieu Florent, Masson Jean Pierre	https://figshare.com/articles/Single_locus_analysis/4168794, https://figshare.com/articles/Two_loci_analysis/4168842, https://doi.org/10.5061/dryad.r08vm/3, https://doi.org/10.5061/dryad.r08vm/4
